0
피해자	0.015441534
사건	0.013138162
처벌	0.009400078
피해	0.0076288967
범죄	0.007297795
검사	0.007211298
경찰	0.0071966397
판결	0.007185734
판사	0.0063729207
사실	0.006017422
증거	0.0059396387
억울	0.0057610855
가해자	0.0056806095
수사	0.005548291
검찰	0.005059225
1
공무원	0.1010829
행정	0.07693599
일반	0.063335136
거짓말	0.013501395
운전	0.013013096
선출	0.0128779495
직분	0.010691533
인간	0.009222243
전부	0.008943476
야합	0.007893667
전직	0.006646059
북한	0.006195159
신들	0.0060036355
국회의원	0.0059996643
조직	0.0051531885
2
북한	0.044667907
국제	0.027848888
미국	0.021690251
외교부	0.020539708
비핵화	0.010181688
한반도	0.009738323
중국	0.0090549225
외교	0.008067597
사건	0.008042852
김정은	0.0077011366
남북	0.0072272895
트럼프	0.0068485574
선언	0.0065512746
평화	0.006352241
대중교통	0.0062495647
3
사건	0.01807855
수사	0.0115831075
검찰	0.01111976
재판	0.00895193
사실	0.007631723
조사	0.0066611953
검사	0.005239506
법원	0.0047604074
요청	0.0047458783
회장	0.004574363
기관	0.004475967
불법	0.0044375393
고소	0.004292395
판결	0.003961797
본인	0.0038240196
4
여성	0.037105527
남성	0.016996084
남자	0.009426009
피해자	0.007666813
발의	0.0072676186
전용	0.0071099303
성폭력	0.0063619027
처벌	0.006264397
무고	0.0061578765
신고	0.0059031886
남편	0.0058054277
여자	0.0055994745
적용	0.0055367565
호텔	0.005513692
성범죄	0.005379316
5
문화	0.02289151
대학	0.017953394
시험	0.012886366
교수	0.011144474
일본	0.009636392
어진	0.007144987
교육	0.007035626
미국	0.0060543013
학생	0.0060117794
세계	0.0058508883
대학교	0.0058041634
발전	0.0055333967
개념	0.00522694
논문	0.004472989
경제	0.0043470906
6
자활	0.046820946
모씨	0.041350387
차주	0.017759655
경찰	0.01493165
방화	0.010294164
조직	0.009789522
범죄	0.008678754
운송	0.0071279504
사용	0.0061666192
존재	0.005992602
할당	0.005559989
성분	0.005323285
며느리	0.0052624624
사건	0.0051532723
사욕	0.0051302738
7
건강	0.01764941
병원	0.014874209
보험	0.013951059
의료	0.012740293
환자	0.010159033
치료	0.009900244
복지	0.00958146
자동차	0.0074551958
의사	0.007184305
제도	0.006651853
국민연금	0.006131894
경우	0.0054741856
공단	0.005381914
발전	0.0047336477
었다	0.0043488485
8
정책	0.0053289337
경제	0.0035199197
아가	0.0028777428
기업	0.0028746827
부동산	0.00282392
세금	0.0028229696
드립	0.0026616387
상황	0.0026510097
지원	0.0026125745
어서	0.0025977176
서민	0.0025962647
공무원	0.0025668724
필요	0.0025523813
가지	0.0023856019
이유	0.0023361994
9
분양	0.008144334
사업	0.008069109
회사	0.007745502
건설	0.00695374
민원	0.0065201824
관리	0.006373998
공사	0.0060190647
계약	0.005986865
아파트	0.0059745885
결정	0.0051141004
조합원	0.004661139
시설	0.0045019877
주민	0.004236979
주택	0.003921649
업체	0.0038641947
10
경찰	0.099771865
범죄	0.033688534
기후	0.03304394
국제	0.024366178
조직	0.023021737
불법	0.022796659
기구	0.017225372
사용	0.011294635
인권	0.01085159
유린	0.009877047
부패	0.009685024
재산	0.009329672
고문	0.008545371
범죄자	0.008204062
차입	0.007657623
11
사법	0.0057312464
적폐	0.0046560112
비리	0.0046024434
국회	0.0045733224
개혁	0.004203189
조국	0.003935824
대법관	0.0038263674
행위	0.003820127
정권	0.003802038
범죄	0.0037531792
정치	0.003636332
장관	0.0036153782
사건	0.003460315
청와대	0.0032059648
권력	0.0029576141
12
학교	0.050908335
학생	0.04154272
교육	0.023686554
교사	0.019630801
선생님	0.017105887
아이	0.014431792
수업	0.012688116
학원	0.012217199
교육청	0.011989517
교육부	0.00988017
초등학교	0.0066607017
시간	0.0058649764
학교장	0.005758863
학년	0.0057465346
교장	0.005083862
13
국회	0.029505668
의원	0.023462744
민주당	0.019959616
국회의원	0.012675581
의원님	0.012274038
정의당	0.011540178
정당	0.01005405
법안	0.009753403
통과	0.008778467
공수	0.0083516715
수석	0.007236106
대표	0.0065908874
불법	0.00629229
동물	0.006027208
모임	0.0057050823
